ticker,quarter,sector,mgmt_lm_score,mgmt_finbert_score,mgmt_gpt_score_norm,mgmt_gpt_score_intensity_wt,mgmt_lm_uncertainty_score,analyst_lm_score,analyst_finbert_score,analyst_gpt_score_norm,analyst_gpt_score_intensity_wt,analyst_lm_uncertainty_score,div_lm_score,div_finbert_score,div_gpt_score_norm
AAL,2023Q4,Removal,0.18037974683544303,0.4786213011469079,0.46582278481012657,1.1265822784810127,0.06278874004756807,0.14285714285714285,-0.04675212276301216,0.0857142857142857,0.19999999999999998,0.06927789193480595,0.03752260397830018,0.52537342390992,0.3801084990958409
AAL,2024Q1,Removal,0.16914191419141913,0.4579165146437169,0.43564356435643564,1.0475247524752476,0.06600153512175075,0.0,-0.023601594008505387,0.08,0.18,0.06488754915587867,0.16914191419141913,0.4815181086522223,0.3556435643564356
AAL,2024Q2,Removal,0.11111111111111112,0.42578671044403954,0.19761904761904764,0.4904761904761905,0.06692393380041556,0.0,0.1281425967304544,0.03636363636363637,0.10909090909090911,0.05088008850417716,0.11111111111111112,0.2976441137135851,0.16125541125541126
AAPL,2023Q4,IT,0.10833333333333332,0.3241352328914217,0.28500000000000003,0.72,0.07123339504589787,0.1,0.19610606562346217,0.24,0.48,0.03189610389610386,0.008333333333333318,0.12802916726795954,0.04500000000000004
AAPL,2024Q1,IT,0.09649122807017543,0.4496700712643041,0.3649122807017544,1.0140350877192983,0.06513343415615885,0.08333333333333333,0.08967662874298792,0.19999999999999998,0.6,0.0688878243915557,0.013157894736842105,0.35999344252131615,0.16491228070175443
AAPL,2024Q2,IT,0.08333333333333333,0.34764584229112816,0.2692307692307692,0.6807692307692308,0.06652983689101977,0.1,0.00801133485510944,0.07999999999999999,0.15999999999999998,0.05555796055796054,-0.016666666666666677,0.3396345074360187,0.18923076923076923
AAPL,2024Q3,IT,0.04513888888888889,0.31539868798184517,0.22916666666666666,0.6791666666666667,0.061930740182661835,0.07142857142857142,0.10362393202792318,0.042857142857142864,0.08571428571428573,0.05261229511229509,-0.026289682539682536,0.21177475595392198,0.18630952380952379
ABNB,2023Q4,IT,0.1642512077294686,0.39209400696436997,0.3884057971014493,0.910144927536232,0.0687996874497704,0.07692307692307693,0.056874148404368954,-0.07692307692307693,-0.1692307692307692,0.0631531268203594,0.08732813080639168,0.335219858560001,0.4653288740245262
ABNB,2024Q1,IT,0.14545454545454545,0.30532154195349326,0.28,0.7018181818181819,0.04507972809173946,0.09375,0.12386056943796572,-0.024999999999999994,-0.12499999999999997,0.06318740688996853,0.05170454545454545,0.18146097251552754,0.30500000000000005
ABNB,2024Q2,IT,0.13272727272727272,0.258345252410932,0.2333333333333333,0.65,0.05185775230817895,0.10714285714285714,0.07285668388275159,-0.05000000000000001,-0.016666666666666663,0.06943338564426652,0.025584415584415585,0.1854885685281804,0.2833333333333333
ABNB,2024Q3,IT,0.17592592592592593,0.3392290695926841,0.35802469135802467,0.8567901234567902,0.05370045080685024,0.10714285714285714,0.0561225832706051,0.02857142857142857,0.09999999999999999,0.05175297074177906,0.0687830687830688,0.283106486322079,0.3294532627865961
ACN,2023Q4,IT,0.19414893617021275,0.4096846480041425,0.3829787234042553,0.9510638297872341,0.06246317044972147,0.17857142857142858,0.13819037830190997,0.18571428571428572,0.4142857142857143,0.03914308621273253,0.01557750759878418,0.27149426970223256,0.1972644376899696
ACN,2024Q1,IT,0.25968468468468464,0.4642486325465143,0.44054054054054054,1.0810810810810811,0.06895742781425114,0.1,0.10250214585103093,0.06999999999999999,0.19000000000000003,0.03470222981328108,0.15968468468468464,0.36174648669548337,0.37054054054054053
ACN,2024Q2,IT,0.1867816091954023,0.4464366610868481,0.3310344827586207,0.7885057471264367,0.058204425952604964,0.025,0.13727674707770346,-0.009999999999999995,0.050000000000000024,0.05150853985374108,0.1617816091954023,0.30915991400914467,0.3410344827586207
ACN,2024Q3,IT,0.13518518518518519,0.5125880886438406,0.45555555555555555,1.097777777777778,0.06466478927816345,0.125,0.2940764176193625,0.04,0.10999999999999999,0.056520487230679685,0.010185185185185186,0.21851167102447816,0.41555555555555557
ADBE,2023Q4,IT,0.23186324786324786,0.38155068909128503,0.32266666666666666,0.8586666666666667,0.04962423055477446,0.2,0.26223886795341966,-0.12000000000000002,-0.2,0.05194626162368092,0.031863247863247846,0.11931182113786537,0.44266666666666665
ADBE,2024Q1,IT,0.27051282051282055,0.3611910618029726,0.48205128205128206,1.1435897435897435,0.04826664293843044,0.21428571428571427,0.060833100096455615,1.586032892321652e-17,3.172065784643304e-17,0.12674948240165632,0.05622710622710628,0.300357961706517,0.48205128205128206
ADBE,2024Q2,IT,0.19426807760141093,0.37951083954734105,0.4666666666666667,1.1686274509803922,0.0692297033122604,0.16666666666666666,-0.06582818563199705,-0.044444444444444425,-0.31111111111111106,0.06446284680345614,0.027601410934744275,0.4453390251793381,0.5111111111111111
ADBE,2024Q3,IT,0.20788288288288287,0.38956389970120947,0.44594594594594594,1.135135135135135,0.056191732020080584,0.0625,0.1377604940207675,0.024999999999999994,0.15000000000000002,0.06406477423927365,0.14538288288288287,0.25180340568044196,0.4209459459459459
ADI,2023Q4,IT,0.07729468599033816,0.2572197731435839,0.11304347826086956,0.34782608695652173,0.061764271004142175,0.0,-0.1374773191288114,-0.24,-0.5999999999999999,0.07985158975871047,0.07729468599033816,0.3946970922723953,0.35304347826086957
ADI,2024Q1,IT,0.18464052287581698,0.49215853586792946,0.403921568627451,0.9960784313725491,0.07096356320905939,0.16666666666666666,0.2789240150401989,0.13333333333333333,0.26666666666666666,0.0256038647342995,0.01797385620915032,0.21323452082773053,0.2705882352941177
ADI,2024Q2,IT,0.15246913580246912,0.36117635717339536,0.3444444444444445,0.825925925925926,0.05498770019074657,0.125,-0.1306409798562527,0.05,0.1,0.0801346801346801,0.027469135802469125,0.491817337029648,0.2944444444444445
ADI,2024Q3,IT,0.24150943396226415,0.47471605218454915,0.3509433962264151,0.9811320754716981,0.061796102341095734,0.09523809523809523,0.08098635716097692,0.0,0.0,0.06297266985856545,0.14627133872416892,0.39372969502357225,0.3509433962264151
ADP,2023Q4,IT,0.13333333333333333,0.28470885128074563,0.12048192771084337,0.37831325301204816,0.07000790675276679,0.025641025641025644,0.049136164813087496,-0.26153846153846155,-0.07692307692307696,0.07885177257482649,0.10769230769230768,0.23557268646765814,0.3820203892493049
ADP,2024Q1,IT,0.15246913580246912,0.4077499279131492,0.2691358024691358,0.691358024691358,0.07209642130537394,0.125,0.33079865008282167,0.19999999999999998,0.45,0.09606244226650738,0.027469135802469125,0.07695127783032751,0.06913580246913584
ADP,2024Q2,IT,0.15616666666666668,0.5146197105757893,0.268,0.67,0.0707223999307951,0.038461538461538464,0.18538147103614525,0.04615384615384615,0.13846153846153844,0.11665131047617433,0.11770512820512821,0.32923823953964404,0.22184615384615386
ADP,2024Q3,IT,0.18815789473684208,0.35390908622158396,0.18947368421052632,0.5131578947368421,0.06932915908004747,0.19230769230769232,0.03250487994116084,0.04615384615384616,0.12307692307692308,0.05366358862118721,-0.004149797570850239,0.3214042062804231,0.14331983805668017
ADSK,2023Q4,IT,0.12590579710144928,0.3194772990916491,0.28695652173913044,0.732608695652174,0.054906499440848425,0.21794871794871792,0.05910374360302317,0.03076923076923077,0.09230769230769233,0.06154990168496892,-0.09204292084726864,0.26037355548862595,0.2561872909698997
